global_index,gene_symbol,in_vcc_output,go_terms,reactome_pathways,string_degree,grn_out_degree,grn_in_degree,active_prior_count
11608,ANKRD11,1,8,0,33,0,1,3
11609,SPATA33,1,9,0,16,0,0,2
11610,PROCA1,1,5,0,40,0,0,2
11611,ZNF641,1,8,1,11,0,0,3
11612,LALBA,1,15,2,41,0,1,4
11613,CACNB3,1,18,5,50,0,0,3
11614,DHRS13,1,4,0,23,0,0,2
11615,TP53I13,1,6,0,39,0,0,2
11616,KMT2D,1,19,8,62,3,1,4
11617,CORO6,1,7,0,25,0,0,2
11618,RHEBL1,1,13,0,19,0,0,2
11619,TUBA1A,1,70,38,97,0,3,4
11620,TUBA1C,1,19,32,54,0,0,3
11621,ZNF610,1,5,2,5,0,0,3
11622,ZNF528,1,7,1,3,0,0,3
11623,ZNF701,1,5,1,16,0,0,3
11624,SERTAD3,1,5,0,26,0,0,2
11625,NCKAP5L,1,5,0,12,0,0,2
11626,RAB4B,1,18,3,32,0,1,4
11627,AQP2,1,27,2,54,0,11,4
11628,GPD1,1,12,1,42,0,2,4
11629,PROSER3,1,2,0,16,0,0,2
11630,CYP2S1,1,22,3,42,0,0,3
11631,AXL,1,39,2,49,0,13,4
11632,NFKBID,1,5,0,24,0,5,3
11633,TMC4,1,8,0,18,0,0,2
11634,ANKRD33,1,3,0,7,0,0,2
11635,LAIR1,1,7,2,42,0,1,4
11636,TTYH1,1,18,0,20,0,0,2
11637,LENG8,1,3,0,27,0,0,2
11638,CDC42EP5,1,11,2,23,0,0,3
11639,LAIR2,1,6,1,11,0,1,4
11640,TMEM145,1,3,0,30,0,0,2
11641,ZNF526,1,2,0,11,0,0,2
11642,TRAPPC9,1,14,2,45,0,0,3
11643,KIR3DL1,1,9,1,42,0,14,4
11644,NLRP7,1,15,0,39,0,0,2
11645,ZNF146,1,11,0,11,0,1,3
11646,ZNF283,1,6,0,9,0,0,2
11647,PPP1R14A,1,4,1,33,0,9,4
11648,SPINT2,1,11,2,40,0,4,4
11649,C19orf33,1,4,0,6,0,0,2
11650,YIF1B,1,12,0,20,0,0,2
11651,DNAAF3,1,4,0,43,0,0,2
11652,PSCA,1,9,1,38,0,2,4
11653,ATCAY,1,17,0,9,0,1,3
11654,LY6D,1,7,1,21,0,0,3
11655,DAPK3,1,39,1,35,0,1,4
11656,EEF2,1,41,5,77,0,1,4
11657,TMIGD2,1,8,0,35,0,0,2
11658,CHAF1A,1,12,0,33,0,0,2
11659,UBXN6,1,20,0,41,0,0,2
11660,HDGFL2,1,13,0,18,0,0,2
11661,PLIN4,1,4,1,33,0,0,3
11662,SEMA6B,1,10,0,19,0,1,3
11663,ZNF444,1,8,0,29,1,0,3
11664,NXN,1,9,0,37,0,0,2
11665,TLCD3A,1,5,0,14,0,1,3
11666,GLOD4,1,3,0,47,0,0,2
11667,MFSD3,1,5,0,34,0,0,2
11668,GPT,1,8,2,66,0,7,4
11669,KIFC2,1,16,2,49,0,0,3
11670,SLC43A2,1,22,1,27,0,0,3
11671,RILP,1,24,2,40,0,1,4
11672,SERPINF2,1,28,2,50,0,4,4
11673,WDR81,1,16,1,34,0,0,3
11674,SRR,1,25,1,36,0,1,4
11675,TSR1,1,11,1,67,0,0,3
11676,TRPV3,1,21,1,34,0,1,4
11677,HSD11B1L,1,3,0,32,0,0,2
11678,CYB5D2,1,6,0,23,0,0,2
11679,GGT6,1,6,3,41,0,0,3
11680,C19orf48,1,0,0,11,0,0,1
11681,KLK1,1,8,2,34,0,4,4
11682,KLK4,1,9,0,55,0,4,3
11683,KLK2,1,7,3,42,0,3,4
11684,KLK5,1,17,2,35,0,0,3
11685,KLK6,1,23,0,36,0,4,3
11686,KLK11,1,9,0,34,0,0,2
11687,KLK13,1,9,2,33,0,0,3
11688,ZNF83,1,5,0,5,0,1,3
11689,KRT80,1,9,2,35,0,0,3
11690,KRT1,1,25,6,49,0,7,4
11691,ACER1,1,17,1,35,0,0,3
11692,OTUB1,1,16,2,66,0,1,4
11693,RCOR2,1,9,0,31,16,0,3
11694,ANGPTL4,1,19,5,37,0,7,4
11695,CD320,1,11,2,22,0,3,4
11696,SPRYD3,1,1,0,22,0,0,2
11697,IGFBP6,1,18,1,30,0,7,4
11698,SOAT2,1,20,1,32,0,1,4
11699,ZNF558,1,8,1,11,0,0,3
11700,CABP2,1,10,1,26,0,0,3
11701,NDUFV1,1,13,3,121,0,2,4
11702,CDK2AP2,1,9,2,8,0,0,3
11703,NUDT8,1,11,1,27,0,0,3
11704,TBX10,1,10,0,32,5,0,3
11705,PRDX2,1,19,3,47,0,3,4
11706,OR8J3,1,7,1,13,0,0,3
11707,OR5I1,1,8,1,21,0,0,3
11708,ZNF232,1,6,0,29,0,0,2
11709,MIS12,1,14,6,35,0,0,3
11710,CD300C,1,6,1,63,0,0,3
11711,CD300A,1,26,3,47,0,0,3
11712,TEKT1,1,12,0,76,0,1,3
11713,HID1,1,14,0,18,0,0,2
11714,ATP5PD,1,9,3,71,0,1,4
11715,TMEM88,1,7,0,14,0,0,2
11716,EVPL,1,16,1,46,0,3,4
11717,SRP68,1,17,1,42,0,0,3
11718,MGAT5B,1,7,1,39,0,2,4
11719,TMC8,1,23,0,24,0,0,2
11720,TK1,1,14,2,66,0,9,4
11721,TMEM68,1,7,0,23,0,0,2
11722,CYP7A1,1,20,5,77,0,38,4
11723,GSDMA,1,14,0,36,0,0,2
11724,KRT24,1,10,3,32,0,0,3
11725,TMEM99,1,1,0,0,0,0,1
11726,GHDC,1,8,1,9,0,0,3
11727,FAM234A,1,4,0,12,0,0,2
11728,SOST,1,17,2,50,0,12,4
11729,ZNF598,1,16,1,41,0,0,3
11730,RAB26,1,17,1,15,0,1,4
11731,MLST8,1,26,15,58,0,0,3
11732,E4F1,1,20,0,43,9,1,3
11733,DNASE1L2,1,11,0,20,0,0,2
11734,ECI1,1,6,2,43,0,0,3
11735,CASKIN1,1,7,0,34,0,0,2
11736,ABCA3,1,46,4,31,0,9,4
11737,KCTD5,1,10,0,35,0,0,2
11738,SRRM2,1,16,3,89,0,0,3
11739,ZNF597,1,8,1,19,0,0,3
11740,NLRC3,1,23,1,32,0,0,3
11741,SDHAF2,1,10,1,32,0,0,3
11742,DDB1,1,57,10,107,0,3,4
11743,VPS37C,1,15,5,37,0,0,3
11744,VWCE,1,8,0,26,0,0,2
11745,RAB3IL1,1,4,1,37,0,0,3
11746,BEST1,1,26,1,55,0,10,4
11747,FTH1,1,26,4,60,0,7,4
11748,BSCL2,1,10,0,47,0,0,2
11749,POLR2G,1,10,44,104,0,0,3
11750,SLC3A2,1,45,4,58,0,4,4
11751,PLAAT5,1,7,1,25,0,0,3
11752,SPINDOC,1,7,0,8,0,0,2
11753,ATG16L2,1,3,1,42,0,0,3
11754,C2CD3,1,11,1,37,0,0,3
11755,TRANK1,1,0,0,25,0,0,1
11756,TTC21A,1,6,0,44,0,1,3
11757,ENTPD3,1,18,1,58,0,0,3
11758,CTNNB1,1,154,46,451,321,41,4
11759,ULK4,1,13,0,27,0,0,2
11760,FADD,1,63,14,77,0,7,4
11761,LTBP3,1,14,2,40,0,4,4
11762,NAALADL1,1,10,0,32,0,0,2
11763,SAC3D1,1,7,0,32,0,0,2
11764,BATF2,1,13,0,34,1,0,3
11765,SLC22A11,1,14,1,43,0,0,3
11766,SF1,1,19,1,66,11,18,4
11767,MAP4K2,1,14,0,28,0,0,2
11768,MAJIN,1,10,0,32,0,0,2
11769,CCDC88B,1,16,0,17,0,0,2
11770,SCARA3,1,8,0,29,0,0,2
11771,PBK,1,10,0,68,0,1,3
11772,SCARA5,1,12,1,21,0,1,4
11773,PNOC,1,31,2,52,0,3,4
11774,COPS6,1,10,4,55,0,0,3
11775,PAFAH1B2,1,17,2,43,0,0,3
11776,ANKS3,1,3,0,27,0,0,2
11777,NUDT16L1,1,5,0,10,0,0,2
11778,KIAA1586,1,2,0,3,0,1,3
11779,RAB4A,1,22,5,48,0,0,3
11780,OR2B2,1,6,1,14,0,0,3
11781,KCNJ4,1,11,4,39,0,0,3
11782,SETD5,1,20,0,43,0,0,2
11783,VASN,1,13,0,20,0,0,2
11784,FAM83B,1,11,0,15,0,0,2
11785,HIST3H3,1,15,0,0,0,0,1
11786,THAP9,1,7,0,22,3,0,3
11787,OR2C1,1,9,2,94,0,0,3
11788,RNF187,1,13,0,13,0,0,2
11789,HOOK3,1,29,0,53,0,0,2
11790,MAPK1IP1L,1,1,0,15,0,0,2
11791,DDIT4,1,16,1,42,0,10,4
11792,RBPJ,1,57,13,88,154,4,4
11793,LMBRD1,1,19,3,27,0,0,3
11794,ZCCHC4,1,11,0,40,0,0,2
11795,PTGDR,1,9,2,37,0,10,4
11796,TTC39C,1,2,0,6,0,0,2
11797,GLYCTK,1,8,1,41,0,0,3
11798,GNG4,1,10,29,87,0,0,3
11799,UBTD2,1,2,0,14,0,0,2
11800,NKIRAS2,1,7,3,11,0,0,3
11801,DNAJC7,1,12,1,50,0,1,4
11802,KCNV2,1,13,1,46,0,3,4
11803,IRF2BP2,1,7,0,31,0,1,3
11804,PTF1A,1,29,2,44,17,4,4
11805,NT5DC2,1,4,0,22,0,0,2
11806,FOXI1,1,19,0,32,10,0,3
11807,SMIM4,1,5,0,17,0,0,2
11808,COA6,1,8,1,60,0,0,3
11809,KIF5C,1,32,1,66,0,0,3
11810,MGAT2,1,10,3,32,0,1,4
11811,BMI1,1,27,10,98,0,20,4
11812,THAP11,1,16,0,23,6,0,3
11813,MMADHC,1,6,2,33,0,0,3
11814,PDHB,1,8,4,80,0,0,3
11815,PXK,1,10,0,33,0,0,2
11816,HIST1H1E,1,18,0,0,0,0,1
11817,PCMTD1,1,7,0,18,0,0,2
11818,KCTD6,1,10,4,36,0,0,3
11819,MPLKIP,1,6,0,32,0,0,2
11820,ACOX2,1,20,3,56,0,0,3
11821,FAM107A,1,28,0,13,0,0,2
11822,IRF2,1,26,4,36,56,4,4
11823,MOBP,1,6,1,35,0,0,3
11824,CX3CR1,1,64,5,67,0,3,4
11825,PPDPFL,1,1,0,3,0,0,2
11826,XIRP1,1,16,0,35,0,0,2
11827,INSM2,1,10,0,32,0,2,3
11828,DEGS2,1,9,1,43,0,0,3
11829,SCN11A,1,60,2,40,0,2,4
11830,ARF4,1,32,3,44,0,2,4
11831,SEPTIN2,1,38,1,38,0,0,3
11832,FILIP1L,1,6,0,34,0,1,3
11833,MFSD2A,1,45,1,33,0,3,4
11834,DTYMK,1,10,1,49,0,0,3
11835,TAP1,1,29,2,32,0,9,4
11836,ING5,1,22,2,37,0,0,3
11837,ATG4B,1,24,1,44,0,2,4
11838,BDKRB2,1,23,3,42,0,10,4
11839,MLKL,1,16,5,38,0,0,3
11840,RFWD3,1,20,0,34,0,0,2
11841,MTNR1A,1,12,2,38,0,0,3
11842,KCNG4,1,15,1,45,0,0,3
11843,RHOH,1,18,1,49,0,7,4
11844,KLHL30,1,4,0,12,0,0,2
11845,COG7,1,14,3,56,0,0,3
11846,CDC40,1,13,5,103,0,0,3
11847,STIP1,1,10,2,78,0,2,4
11848,SCNN1B,1,24,2,40,0,1,4
11849,HR,1,13,0,3,87,2,3
11850,TXNDC2,1,11,0,33,0,0,2
11851,RAB31,1,29,3,34,0,1,4
11852,REEP4,1,9,0,24,0,0,2
11853,TNXB,1,19,1,44,0,1,4
11854,LGI3,1,8,1,15,0,0,3
11855,SFTPC,1,10,4,48,0,13,4
11856,BMP1,1,18,4,57,0,2,4
11857,ATXN2L,1,11,0,45,0,0,2
11858,PHYHIP,1,6,0,20,0,0,2
11859,CCDC110,1,4,0,12,0,0,2
11860,POLR3D,1,12,7,52,0,3,4
11861,FEN1,1,36,6,95,0,5,4
11862,CAVIN2,1,10,0,22,0,1,3
11863,MTCL1,1,20,0,9,0,0,2
11864,GBX2,1,15,3,36,7,3,4
11865,HJV,1,20,1,35,0,4,4
11866,SCGB1D1,1,2,0,20,0,0,2
11867,HEXIM2,1,12,0,26,0,0,2
11868,FNTA,1,28,5,39,0,1,4
11869,SERINC2,1,7,1,15,0,0,3
11870,MYL1,1,12,1,95,0,2,4
11871,TRAPPC11,1,11,1,38,0,0,3
11872,CHRM1,1,35,2,37,0,1,4
11873,COL3A1,1,51,16,107,0,11,4
11874,GFRA2,1,10,3,39,0,1,4
11875,ING2,1,33,2,50,0,6,4
11876,CDKN2AIP,1,11,0,16,0,1,3
11877,SNRNP48,1,10,1,43,0,0,3
11878,TMEM223,1,4,1,15,0,0,3
11879,SLC20A2,1,14,2,34,0,0,3
11880,CRYGA,1,3,0,30,0,1,3
11881,DYNLRB2,1,14,1,43,0,0,3
11882,TMUB2,1,3,0,34,0,0,2
11883,ADAM29,1,9,0,8,0,0,2
11884,STAT3,1,126,42,230,403,20,4
11885,ZSWIM1,1,2,0,21,0,0,2
11886,ADAM9,1,41,1,36,0,1,4
11887,ADAM18,1,9,0,3,0,0,2
11888,GDNF,1,46,4,62,0,24,4
11889,MUCL3,1,5,0,14,0,0,2
11890,WFDC13,1,5,0,15,0,0,2
11891,AXIN2,1,35,5,71,0,18,4
11892,NDUFS5,1,11,2,67,0,0,3
