term_index,term_id
280,R-HSA-171007
281,R-HSA-171286
282,R-HSA-171306
283,R-HSA-171319
284,R-HSA-173107
285,R-HSA-173599
286,R-HSA-173623
287,R-HSA-173736
288,R-HSA-174048
289,R-HSA-174084
290,R-HSA-174113
291,R-HSA-174154
292,R-HSA-174178
293,R-HSA-174184
294,R-HSA-174362
295,R-HSA-174403
296,R-HSA-174411
297,R-HSA-174414
298,R-HSA-174417
299,R-HSA-174430
300,R-HSA-174437
301,R-HSA-174490
302,R-HSA-174577
303,R-HSA-175474
304,R-HSA-175567
305,R-HSA-176034
306,R-HSA-176187
307,R-HSA-176407
308,R-HSA-176408
309,R-HSA-176409
310,R-HSA-176412
311,R-HSA-176417
312,R-HSA-176974
313,R-HSA-177128
314,R-HSA-177135
315,R-HSA-177162
316,R-HSA-177504
317,R-HSA-177539
318,R-HSA-177929
319,R-HSA-179409
320,R-HSA-179812
321,R-HSA-1799339
322,R-HSA-180024
323,R-HSA-180292
324,R-HSA-180336
325,R-HSA-180534
326,R-HSA-180585
327,R-HSA-180689
328,R-HSA-180746
329,R-HSA-180897
330,R-HSA-180910
331,R-HSA-1810476
332,R-HSA-181429
333,R-HSA-181430
334,R-HSA-182218
335,R-HSA-182971
336,R-HSA-1834941
337,R-HSA-1834949
338,R-HSA-1839117
339,R-HSA-1839122
340,R-HSA-1839128
341,R-HSA-1839130
342,R-HSA-1855167
343,R-HSA-1855170
344,R-HSA-1855183
345,R-HSA-1855191
346,R-HSA-1855196
347,R-HSA-1855204
348,R-HSA-1855229
349,R-HSA-1855231
350,R-HSA-186763
351,R-HSA-186797
352,R-HSA-187024
353,R-HSA-187042
354,R-HSA-187577
355,R-HSA-187706
356,R-HSA-189085
357,R-HSA-189200
358,R-HSA-189451
359,R-HSA-189483
360,R-HSA-190322
361,R-HSA-190370
362,R-HSA-190371
363,R-HSA-190372
364,R-HSA-190373
365,R-HSA-190374
366,R-HSA-190375
367,R-HSA-190377
368,R-HSA-190704
369,R-HSA-190827
370,R-HSA-190840
371,R-HSA-190861
372,R-HSA-190872
373,R-HSA-190873
374,R-HSA-1912399
375,R-HSA-1912408
376,R-HSA-1912420
377,R-HSA-191273
378,R-HSA-191650
379,R-HSA-191859
380,R-HSA-192105
381,R-HSA-192456
382,R-HSA-192814
383,R-HSA-192823
384,R-HSA-192905
385,R-HSA-193048
386,R-HSA-193144
387,R-HSA-193368
388,R-HSA-193634
389,R-HSA-193648
390,R-HSA-193670
391,R-HSA-193681
392,R-HSA-193692
393,R-HSA-193775
394,R-HSA-193807
395,R-HSA-193993
396,R-HSA-194002
397,R-HSA-194138
398,R-HSA-194306
399,R-HSA-194313
400,R-HSA-195253
401,R-HSA-195399
402,R-HSA-196025
403,R-HSA-196071
404,R-HSA-196108
405,R-HSA-196299
