term_index,term_id
0,GO:0000009
1,GO:0000012
2,GO:0000014
3,GO:0000015
4,GO:0000016
5,GO:0000017
6,GO:0000018
7,GO:0000019
8,GO:0000022
9,GO:0000023
10,GO:0000025
11,GO:0000026
12,GO:0000027
13,GO:0000028
14,GO:0000030
15,GO:0000033
16,GO:0000035
17,GO:0000036
18,GO:0000038
19,GO:0000045
20,GO:0000048
21,GO:0000049
22,GO:0000050
23,GO:0000054
24,GO:0000055
25,GO:0000056
26,GO:0000062
27,GO:0000064
28,GO:0000070
29,GO:0000076
30,GO:0000077
31,GO:0000079
32,GO:0000082
33,GO:0000086
34,GO:0000095
35,GO:0000096
36,GO:0000098
37,GO:0000101
38,GO:0000103
39,GO:0000109
40,GO:0000110
41,GO:0000112
42,GO:0000118
43,GO:0000120
44,GO:0000121
45,GO:0000122
46,GO:0000123
47,GO:0000124
48,GO:0000126
49,GO:0000127
50,GO:0000132
51,GO:0000137
52,GO:0000138
53,GO:0000139
54,GO:0000140
55,GO:0000145
56,GO:0000146
57,GO:0000149
58,GO:0000150
59,GO:0000151
60,GO:0000152
61,GO:0000153
62,GO:0000154
63,GO:0000159
64,GO:0000164
65,GO:0000165
66,GO:0000166
67,GO:0000171
68,GO:0000172
69,GO:0000175
70,GO:0000176
71,GO:0000177
72,GO:0000178
73,GO:0000179
74,GO:0000182
75,GO:0000183
76,GO:0000184
77,GO:0000209
78,GO:0000210
79,GO:0000212
80,GO:0000213
81,GO:0000214
82,GO:0000215
83,GO:0000217
84,GO:0000220
85,GO:0000221
86,GO:0000224
87,GO:0000225
88,GO:0000226
89,GO:0000228
90,GO:0000235
91,GO:0000242
92,GO:0000243
93,GO:0000244
94,GO:0000245
95,GO:0000246
96,GO:0000247
97,GO:0000248
98,GO:0000250
99,GO:0000252
100,GO:0000253
101,GO:0000254
102,GO:0000255
103,GO:0000256
104,GO:0000262
105,GO:0000266
106,GO:0000268
107,GO:0000271
108,GO:0000278
109,GO:0000280
110,GO:0000281
111,GO:0000285
112,GO:0000287
113,GO:0000288
114,GO:0000289
115,GO:0000290
116,GO:0000292
117,GO:0000295
118,GO:0000296
119,GO:0000297
120,GO:0000298
121,GO:0000301
122,GO:0000302
123,GO:0000303
124,GO:0000304
125,GO:0000305
126,GO:0000307
127,GO:0000308
128,GO:0000309
129,GO:0000322
130,GO:0000323
131,GO:0000333
132,GO:0000334
133,GO:0000338
134,GO:0000339
135,GO:0000340
136,GO:0000346
137,GO:0000347
138,GO:0000349
139,GO:0000350
140,GO:0000354
141,GO:0000375
142,GO:0000379
143,GO:0000380
144,GO:0000381
145,GO:0000386
146,GO:0000387
147,GO:0000388
148,GO:0000389
149,GO:0000390
150,GO:0000394
151,GO:0000395
152,GO:0000398
153,GO:0000400
154,GO:0000403
155,GO:0000404
156,GO:0000405
157,GO:0000407
158,GO:0000408
159,GO:0000413
160,GO:0000417
161,GO:0000421
162,GO:0000422
163,GO:0000423
164,GO:0000425
165,GO:0000428
166,GO:0000435
167,GO:0000438
168,GO:0000439
169,GO:0000444
170,GO:0000445
171,GO:0000447
172,GO:0000448
173,GO:0000451
174,GO:0000454
175,GO:0000455
176,GO:0000460
177,GO:0000461
178,GO:0000462
179,GO:0000463
180,GO:0000466
181,GO:0000467
182,GO:0000470
183,GO:0000472
184,GO:0000479
185,GO:0000480
186,GO:0000481
187,GO:0000492
188,GO:0000493
189,GO:0000494
190,GO:0000495
191,GO:0000502
192,GO:0000506
193,GO:0000510
194,GO:0000511
195,GO:0000512
196,GO:0000513
197,GO:0000514
198,GO:0000515
199,GO:0000578
200,GO:0000700
201,GO:0000701
202,GO:0000703
203,GO:0000706
204,GO:0000707
205,GO:0000709
206,GO:0000710
207,GO:0000711
208,GO:0000712
209,GO:0000715
210,GO:0000720
211,GO:0000721
212,GO:0000722
213,GO:0000723
214,GO:0000724
215,GO:0000725
216,GO:0000727
217,GO:0000729
218,GO:0000730
219,GO:0000731
220,GO:0000732
221,GO:0000768
222,GO:0000773
223,GO:0000774
224,GO:0000775
225,GO:0000776
226,GO:0000779
227,GO:0000781
228,GO:0000782
229,GO:0000783
